Resolution,Trace (s),Retrace (s),Vtrace (um/s),Vretrace (um/s)
1,222.875,222.875,174.986,174.986
2,221.851,221.835,175.794,175.806
3,221.579,221.580,176.009,176.009
4,220.747,220.827,176.673,176.609
5,222.875,222.874,174.986,174.987
6,222.491,222.491,175.288,175.288
7,223.563,224.379,174.448,173.813
8,225.626,225.627,172.853,172.852
9,382.633,380.633,101.925,102.461
