Resolution,Trace (s),Retrace (s),Vtrace (um/s),Vretrace (um/s)
1,82.675,82.674,158.453,158.453
2,81.491,81.491,160.755,160.755
3,81.635,81.634,160.471,160.472
4,80.899,80.819,161.931,162.090
5,82.930,82.930,157.965,157.964
6,81.970,81.970,159.814,159.814
7,83.395,83.523,157.085,156.844
8,83.955,83.952,156.035,156.041
9,143.688,147.272,91.170,88.951
