Resolution,Trace (s),Retrace (s),Vtrace (um/s),Vretrace (um/s)
1,82.690,82.674,158.422,158.453
2,81.490,81.490,160.755,160.756
3,81.634,81.634,160.471,160.472
4,80.866,80.786,161.996,162.156
5,82.930,82.930,157.964,157.964
6,81.970,81.970,159.814,159.814
7,83.521,83.410,156.846,157.055
8,83.954,83.954,156.037,156.037
9,146.823,147.400,89.223,88.874
