Resolution,Trace (s),Retrace (s),Vtrace (um/s),Vretrace (um/s)
1,82.674,82.674,158.453,158.453
2,81.490,81.490,160.755,160.755
3,81.634,81.634,160.471,160.472
4,80.850,80.818,162.028,162.092
5,82.931,82.930,157.964,157.964
6,81.971,81.970,159.814,159.814
7,83.570,83.409,156.754,157.057
8,83.955,83.955,156.036,156.036
9,146.057,147.047,89.691,89.087
