Resolution,Trace (s),Retrace (s),Vtrace (um/s),Vretrace (um/s)
1,222.635,222.459,175.175,175.313
2,221.835,221.835,175.806,175.806
3,221.580,221.580,176.008,176.009
4,220.074,219.758,177.213,177.468
5,222.876,222.875,174.986,174.986
6,222.491,222.491,175.288,175.288
7,223.771,223.943,174.285,174.152
8,225.625,225.625,172.853,172.854
9,391.901,382.400,99.515,101.988
